epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,78.2098,2.53315,0.31148,0.73224,2.25452,0.000191739,0.000191739,0.000191739
2,102.684,1.99087,0.52459,0.84973,1.43495,0.000380062,0.000380062,0.000380062
3,141.042,1.50804,0.55464,0.88251,1.30758,0.000560623,0.000560623,0.000560623
4,174.43,1.29057,0.5082,0.9071,1.43544,0.000553073,0.000553073,0.000553073
5,210.751,1.14837,0.61749,0.92077,1.14209,0.00054143,0.00054143,0.00054143
6,244.24,1.03585,0.5847,0.90984,1.20534,0.000529788,0.000529788,0.000529788
7,278.797,0.89073,0.72951,0.94262,0.84216,0.000518146,0.000518146,0.000518146
8,312.013,0.83252,0.65574,0.93716,0.9886,0.000506503,0.000506503,0.000506503
9,347.511,0.78109,0.67486,0.95355,0.96598,0.000494861,0.000494861,0.000494861
10,381.229,0.66877,0.75956,0.96448,0.72443,0.000483218,0.000483218,0.000483218
11,414.869,0.59061,0.6612,0.94536,1.19449,0.000471576,0.000471576,0.000471576
12,449.012,0.64173,0.6776,0.95355,0.98558,0.000459934,0.000459934,0.000459934
13,484.846,0.5499,0.71311,0.94536,0.92337,0.000448291,0.000448291,0.000448291
14,519.666,0.51773,0.71585,0.95628,0.9466,0.000436649,0.000436649,0.000436649
15,554.221,0.52883,0.77322,0.94536,0.8182,0.000425006,0.000425006,0.000425006
16,588.165,0.45853,0.74044,0.96175,0.78623,0.000413364,0.000413364,0.000413364
17,623.427,0.42956,0.78689,0.96721,0.67927,0.000401722,0.000401722,0.000401722
18,657.047,0.46796,0.7459,0.96175,0.74377,0.000390079,0.000390079,0.000390079
19,692.23,0.42912,0.77869,0.96448,0.69935,0.000378437,0.000378437,0.000378437
20,725.964,0.43428,0.79781,0.96721,0.64262,0.000366794,0.000366794,0.000366794
21,762.042,0.3881,0.79508,0.97541,0.67777,0.000355152,0.000355152,0.000355152
22,796.247,0.38271,0.80055,0.97268,0.69197,0.00034351,0.00034351,0.00034351
23,832.604,0.33511,0.78689,0.96995,0.70918,0.000331867,0.000331867,0.000331867
24,866.963,0.35268,0.81967,0.97541,0.66436,0.000320225,0.000320225,0.000320225
25,902.167,0.32535,0.81967,0.96995,0.64083,0.000308582,0.000308582,0.000308582
26,935.744,0.30396,0.80874,0.97268,0.67435,0.00029694,0.00029694,0.00029694
27,970.996,0.32676,0.78142,0.97814,0.69466,0.000285298,0.000285298,0.000285298
28,1004.83,0.32111,0.80601,0.97541,0.69127,0.000273655,0.000273655,0.000273655
29,1040.66,0.30402,0.81148,0.97541,0.58437,0.000262013,0.000262013,0.000262013
30,1073.94,0.30585,0.8388,0.98087,0.52917,0.00025037,0.00025037,0.00025037
31,1110.33,0.24102,0.79508,0.97268,0.69659,0.000238728,0.000238728,0.000238728
32,1143.4,0.23999,0.84153,0.97814,0.53567,0.000227086,0.000227086,0.000227086
33,1178.48,0.23514,0.82514,0.97814,0.59641,0.000215443,0.000215443,0.000215443
34,1209.54,0.25505,0.81967,0.96995,0.69838,0.000203801,0.000203801,0.000203801
35,1246.15,0.21371,0.83333,0.97814,0.5534,0.000192158,0.000192158,0.000192158
36,1279.87,0.23534,0.82787,0.98087,0.62554,0.000180516,0.000180516,0.000180516
37,1317.48,0.22801,0.82787,0.97541,0.67335,0.000168874,0.000168874,0.000168874
38,1349.78,0.24776,0.80601,0.96721,0.66153,0.000157231,0.000157231,0.000157231
39,1383.6,0.21696,0.8224,0.98087,0.57238,0.000145589,0.000145589,0.000145589
40,1416.73,0.19016,0.82514,0.97814,0.57416,0.000133946,0.000133946,0.000133946
41,1455.38,0.19655,0.84699,0.98361,0.57728,0.000122304,0.000122304,0.000122304
42,1489.02,0.19013,0.8306,0.98361,0.60775,0.000110662,0.000110662,0.000110662
43,1524.73,0.18112,0.8224,0.97814,0.60007,9.90192e-05,9.90192e-05,9.90192e-05
44,1559.31,0.18246,0.8388,0.98361,0.5844,8.73768e-05,8.73768e-05,8.73768e-05
45,1595.09,0.18529,0.8388,0.97541,0.55978,7.57344e-05,7.57344e-05,7.57344e-05
46,1627.31,0.19651,0.82787,0.98361,0.58797,6.4092e-05,6.4092e-05,6.4092e-05
47,1662.8,0.20658,0.85246,0.98634,0.56712,5.24496e-05,5.24496e-05,5.24496e-05
48,1697.53,0.18378,0.84973,0.98634,0.55584,4.08072e-05,4.08072e-05,4.08072e-05
49,1734.71,0.16927,0.84153,0.98634,0.54565,2.91648e-05,2.91648e-05,2.91648e-05
50,1769.42,0.17012,0.84426,0.98634,0.54451,1.75224e-05,1.75224e-05,1.75224e-05
